,id,neighbourhood,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,host_since,host_is_superhost,bathrooms,bedrooms,beds,bed_type,cleaning_fee,guests_included,extra_people,maximum_nights,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,price
72,3963,Recoleta,Entire home/apt,3,2,4/16/17,0.05,2,0,3/7/16,f,1.0,1,1,Real Bed,450,1,0,30,f,f,moderate,f,f,1
73,6155,Recoleta,Entire home/apt,90,47,3/9/20,1.92,1,358,5/13/18,f,1.0,2,3,Real Bed,0,1,0,360,t,f,flexible,f,f,2
74,5843,Belgrano,Entire home/apt,3,4,12/21/19,0.22,2,153,6/26/14,t,1.0,0,1,Real Bed,1048,1,349,1125,f,f,moderate,f,f,2
75,6995,Palermo,Entire home/apt,4,13,12/27/19,0.64,2,361,11/21/13,f,1.0,1,1,Real Bed,2102,1,0,1125,t,f,flexible,f,f,4
76,6157,Villa Urquiza,Entire home/apt,3,4,11/17/18,0.17,1,360,10/21/16,f,1.0,2,2,Real Bed,1749,2,1050,30,f,f,flexible,f,f,3
77,5904,Palermo,Entire home/apt,7,7,8/24/18,0.27,2,90,4/4/18,f,1.0,0,1,Real Bed,0,1,0,60,f,f,strict_14_with_grace_period,f,f,1
78,5914,Balvanera,Entire home/apt,3,1,2/26/19,0.06,3,58,2/16/16,t,2.5,3,6,Real Bed,2441,1,0,20,t,f,strict_14_with_grace_period,f,f,4
79,3174,Palermo,Entire home/apt,15,73,1/11/20,1.54,23,349,5/5/11,f,1.5,2,1,Real Bed,2103,1,0,1125,t,f,flexible,f,f,2
80,6487,Palermo,Entire home/apt,3,39,3/15/20,1.65,1,174,4/24/12,t,1.0,1,1,Real Bed,0,1,0,70,t,f,flexible,f,f,2
81,4764,Palermo,Entire home/apt,3,20,3/31/19,0.65,7,359,3/2/11,t,1.0,1,1,Real Bed,2095,2,0,1125,f,f,strict_14_with_grace_period,t,t,4
82,10157,Palermo,Entire home/apt,1,39,3/18/20,2.93,13,0,8/8/18,t,1.0,1,1,Real Bed,1813,2,0,28,t,f,strict_14_with_grace_period,f,f,4
83,504,Palermo,Entire home/apt,6,39,6/10/20,0.61,1,173,12/21/10,f,1.0,1,1,Real Bed,5587,1,0,90,f,f,flexible,f,f,3
84,3401,Palermo,Entire home/apt,15,3,12/22/19,0.07,1,359,9/22/16,f,1.0,2,3,Real Bed,4888,1,0,1125,f,f,strict_14_with_grace_period,f,f,3
85,13641,Recoleta,Entire home/apt,1,3,4/30/20,0.72,1,294,9/11/19,f,1.0,1,1,Real Bed,4185,1,0,1125,t,f,strict_14_with_grace_period,f,f,1
86,8444,San Nicolás,Entire home/apt,3,20,2/25/20,1.35,1,365,6/2/18,f,1.0,1,3,Real Bed,0,2,697,1125,t,f,flexible,f,f,3
87,10401,Colegiales,Entire home/apt,4,1,5/25/19,0.08,1,0,12/9/15,f,1.0,1,1,Real Bed,1395,2,0,1125,f,f,moderate,f,f,2
88,7772,San Telmo,Entire home/apt,1,7,3/18/20,0.52,4,338,12/28/16,t,1.0,1,3,Real Bed,978,2,419,1125,t,f,flexible,f,f,3
89,8554,Belgrano,Entire home/apt,15,1,4/30/20,0.54,1,15,3/11/14,f,1.0,0,0,Real Bed,1050,1,1050,80,f,f,strict_14_with_grace_period,f,f,2
90,3898,Caballito,Entire home/apt,1,36,10/21/19,0.96,1,344,11/5/15,f,1.0,1,2,Real Bed,2029,1,0,1125,f,f,moderate,f,f,1
91,6415,Recoleta,Entire home/apt,2,3,3/29/19,0.13,1,187,1/5/16,f,1.0,1,3,Real Bed,1744,1,0,1125,t,f,flexible,f,f,4
92,11146,Palermo,Entire home/apt,2,44,3/10/20,3.99,1,90,7/17/19,t,1.0,0,1,Real Bed,488,1,0,365,t,f,moderate,f,f,2
93,10908,Retiro,Entire home/apt,1,11,1/2/20,0.95,1,360,6/26/19,t,2.0,3,6,Real Bed,5248,5,0,1125,t,f,flexible,f,f,4
94,4691,Recoleta,Entire home/apt,2,12,1/9/20,0.64,1,72,9/4/17,t,1.5,2,3,Real Bed,1395,1,0,30,t,f,strict_14_with_grace_period,f,f,4
95,3200,Almagro,Entire home/apt,3,17,4/23/19,0.37,1,174,11/9/15,f,1.0,1,2,Real Bed,2793,1,0,30,f,f,flexible,f,f,4
96,2054,San Telmo,Entire home/apt,1,13,3/1/20,1.3,4,358,12/19/11,f,2.0,2,3,Real Bed,2793,4,698,1125,t,f,strict_14_with_grace_period,f,f,4
97,763,Palermo,Entire home/apt,5,3,11/15/19,0.16,1,359,8/29/11,f,1.5,2,3,Real Bed,1746,3,0,180,t,f,strict_14_with_grace_period,f,f,4
98,9336,Almagro,Entire home/apt,2,4,12/19/19,0.27,1,0,2/5/19,f,1.0,2,2,Real Bed,1000,3,300,90,t,f,moderate,f,f,1
99,7433,San Telmo,Entire home/apt,2,31,2/26/20,1.53,1,174,10/7/18,t,1.0,0,0,Real Bed,350,1,0,1125,t,f,moderate,f,f,1
100,11331,Palermo,Entire home/apt,7,14,2/11/20,1.89,1,180,7/24/19,f,1.0,0,1,Real Bed,2339,1,0,60,f,f,moderate,f,f,3
101,10088,Monserrat,Entire home/apt,1,3,2/18/20,0.4,2,85,8/25/18,f,1.0,1,1,Real Bed,1500,1,0,1125,f,f,flexible,f,f,2
102,2769,Recoleta,Entire home/apt,3,27,1/11/20,0.53,3,89,3/20/16,t,1.5,1,0,Real Bed,301,1,0,1125,f,f,strict_14_with_grace_period,f,f,3
103,7426,Palermo,Entire home/apt,3,3,11/23/18,0.15,2,364,2/7/16,f,1.0,0,1,Real Bed,767,1,0,30,t,f,flexible,f,f,3
104,1061,Recoleta,Entire home/apt,3,4,1/8/17,0.07,1,356,3/13/14,f,1.0,1,1,Real Bed,1046,1,0,365,f,f,moderate,f,f,2
105,3884,Palermo,Entire home/apt,6,77,3/19/20,1.89,2,87,7/29/16,t,1.0,0,1,Real Bed,1744,1,0,1125,t,f,strict_14_with_grace_period,f,f,2
106,8678,Palermo,Entire home/apt,6,1,4/22/19,0.07,43,340,6/6/11,f,1.0,0,2,Real Bed,3138,3,0,1125,t,f,flexible,f,f,4
107,13425,Palermo,Entire home/apt,3,4,3/22/20,0.85,3,43,6/9/16,t,1.0,1,2,Real Bed,3487,1,0,1125,t,f,strict_14_with_grace_period,f,f,4
108,9040,Palermo,Entire home/apt,1,7,6/10/19,0.48,2,360,9/1/16,f,1.0,1,1,Real Bed,500,1,0,1,f,f,flexible,f,f,1
109,9237,Núñez,Entire home/apt,2,20,3/31/20,1.33,1,163,7/5/16,f,1.0,1,1,Real Bed,1749,1,0,180,t,f,flexible,f,f,2
110,3915,Palermo,Entire home/apt,2,31,12/2/19,0.79,1,83,2/13/17,f,2.0,1,1,Real Bed,1467,1,0,365,t,f,moderate,f,f,4
111,780,Palermo,Entire home/apt,1,186,3/25/20,2.3,3,361,5/30/13,f,1.0,1,1,Real Bed,1751,1,701,1125,f,f,strict_14_with_grace_period,f,f,2
112,6904,Almagro,Entire home/apt,4,35,3/27/20,1.59,1,174,8/9/18,f,1.0,0,2,Real Bed,1050,1,0,1125,f,f,strict_14_with_grace_period,f,f,2
113,6299,Colegiales,Shared room,2,8,12/15/18,0.38,1,84,6/4/18,f,1.0,1,2,Real Bed,0,1,0,7,f,f,flexible,f,f,1
114,12424,San Nicolás,Entire home/apt,2,15,3/20/20,1.93,15,359,11/15/15,f,1.0,0,1,Real Bed,1257,2,1048,1125,f,f,flexible,f,f,2
115,9111,Retiro,Entire home/apt,3,2,1/30/20,0.38,1,66,6/6/16,f,2.0,3,5,Real Bed,0,1,0,39,t,f,moderate,f,f,3
116,1995,Balvanera,Entire home/apt,4,30,8/18/19,0.53,1,359,7/29/15,f,2.0,2,2,Real Bed,1048,1,1048,30,f,f,flexible,f,f,3
117,12813,Retiro,Entire home/apt,5,11,3/13/20,1.74,4,359,8/21/16,t,1.0,1,5,Real Bed,2724,1,0,180,t,f,flexible,f,f,4
118,9756,Parque Patricios,Entire home/apt,3,3,3/10/20,0.26,3,360,2/18/15,f,1.5,1,4,Real Bed,1749,2,700,1125,t,f,strict_14_with_grace_period,f,f,3
119,10751,Recoleta,Entire home/apt,3,17,2/26/20,1.41,1,365,4/22/13,t,1.0,1,3,Real Bed,1046,1,0,1125,t,f,moderate,f,f,3
120,198,San Nicolás,Entire home/apt,5,2,4/8/14,0.03,1,0,1/8/12,f,1.0,1,1,Real Bed,1046,1,349,30,t,f,moderate,f,f,2
121,6997,Palermo,Entire home/apt,3,37,3/14/20,1.73,2,174,8/2/13,t,1.0,0,1,Real Bed,1397,1,0,90,f,f,strict_14_with_grace_period,f,f,2
122,7171,San Telmo,Entire home/apt,2,63,3/11/20,3.01,3,186,10/29/17,f,1.0,1,3,Real Bed,500,1,0,1125,t,f,moderate,f,f,2
123,7624,Palermo,Entire home/apt,2,44,2/24/20,2.3,3,365,4/1/16,t,1.0,1,1,Real Bed,1395,2,1395,60,t,f,moderate,f,f,3
124,392,Recoleta,Entire home/apt,3,115,2/25/20,1.24,4,359,3/3/11,f,1.0,1,0,Real Bed,1746,2,1746,365,f,f,moderate,f,t,1
125,10199,Palermo,Entire home/apt,3,24,3/10/20,1.85,11,354,8/28/13,t,1.0,0,1,Real Bed,3492,1,0,240,t,f,moderate,f,f,3
126,2847,Caballito,Entire home/apt,3,4,2/19/20,0.68,1,144,4/13/16,f,1.0,1,1,Real Bed,700,1,0,14,t,f,flexible,f,f,2
127,1266,Recoleta,Entire home/apt,30,44,5/31/20,2.36,1,329,7/18/14,t,1.0,0,1,Real Bed,0,2,0,1125,t,f,strict_14_with_grace_period,f,f,2
128,8776,Coghlan,Entire home/apt,4,11,1/7/20,0.71,1,360,3/15/18,f,1.0,1,1,Real Bed,0,1,0,30,f,f,flexible,f,f,1
129,10407,Palermo,Entire home/apt,2,1,9/24/19,0.11,7,357,7/24/12,f,1.0,2,4,Real Bed,2790,3,349,1125,t,f,flexible,f,f,4
130,3473,Palermo,Entire home/apt,2,5,3/16/17,0.11,1,170,8/28/16,f,1.0,1,3,Real Bed,290,2,180,30,t,f,flexible,f,f,1
131,3561,Colegiales,Entire home/apt,3,4,1/31/18,0.13,1,0,5/26/15,f,1.0,1,2,Real Bed,400,2,300,1125,f,f,flexible,f,f,1
132,11631,Palermo,Entire home/apt,2,6,3/1/20,0.63,1,179,9/13/13,f,1.0,2,5,Real Bed,1000,1,0,1125,f,f,moderate,f,f,4
133,1820,San Telmo,Entire home/apt,1,139,3/10/20,2.26,5,206,4/15/15,f,1.0,0,2,Real Bed,0,1,0,1125,f,f,moderate,f,f,2
134,2397,Palermo,Entire home/apt,2,66,3/15/20,1.25,9,365,11/23/12,f,1.0,0,4,Real Bed,1255,2,418,1125,t,f,moderate,t,t,3
135,2449,Palermo,Entire home/apt,3,15,2/25/20,0.28,72,317,5/23/14,f,1.0,1,3,Real Bed,1744,2,349,1125,f,f,strict_14_with_grace_period,f,f,2
136,3084,Villa Crespo,Entire home/apt,3,29,2/15/20,0.6,4,188,2/12/16,f,1.0,0,1,Real Bed,349,1,0,1125,t,f,strict_14_with_grace_period,f,f,1
137,2388,Palermo,Entire home/apt,30,68,3/16/20,1.24,6,365,4/11/15,f,1.0,1,1,Real Bed,2441,1,0,1125,t,f,moderate,f,f,1
138,4808,Palermo,Entire home/apt,6,15,4/30/20,0.46,1,360,12/27/15,f,1.0,1,1,Real Bed,400,1,0,1125,f,f,flexible,f,f,1
139,12555,Palermo,Entire home/apt,2,4,2/25/20,0.56,2,176,3/23/16,f,2.5,2,2,Real Bed,1051,1,0,15,f,f,strict_14_with_grace_period,f,f,4
140,1030,Palermo,Entire home/apt,14,95,4/6/20,1.25,16,308,2/7/12,t,1.5,0,2,Real Bed,1397,1,0,700,f,f,strict_14_with_grace_period,t,t,1
141,11585,Palermo,Entire home/apt,3,9,6/2/20,1.13,1,173,6/14/14,t,1.0,1,1,Real Bed,0,2,0,180,f,f,flexible,f,f,2
142,7056,Palermo,Entire home/apt,3,29,6/6/20,1.4,3,83,9/4/18,f,1.0,1,2,Real Bed,1046,1,0,1125,f,f,flexible,f,f,2
143,12839,Balvanera,Entire home/apt,5,4,2/15/20,0.62,1,176,11/22/12,f,1.0,2,3,Real Bed,1402,3,0,27,t,f,strict_14_with_grace_period,f,f,3
144,6900,Retiro,Entire home/apt,14,1,10/15/18,0.05,2,356,12/21/16,f,1.0,1,3,Real Bed,1395,1,0,100,f,f,flexible,f,f,3
145,1792,Villa Crespo,Entire home/apt,1,224,6/13/20,3.68,7,356,1/2/14,f,1.0,1,2,Real Bed,1397,2,0,1125,f,f,strict_14_with_grace_period,f,f,3
146,4653,San Telmo,Entire home/apt,2,30,2/27/20,0.89,1,0,12/18/15,f,1.0,1,1,Real Bed,1744,1,0,1125,f,f,strict_14_with_grace_period,f,f,2
147,2393,Almagro,Private room,2,2,1/1/19,0.06,19,349,3/5/12,t,1.0,1,2,Real Bed,0,1,420,1125,f,f,strict_14_with_grace_period,f,f,1
148,8249,Núñez,Entire home/apt,3,1,12/15/18,0.05,27,31,9/14/15,f,1.0,1,1,Real Bed,500,1,0,1125,f,f,strict_14_with_grace_period,f,f,2
149,1282,Palermo,Entire home/apt,5,89,5/4/20,1.43,3,137,8/3/14,t,2.0,2,3,Real Bed,2092,5,349,200,t,f,moderate,f,f,4
150,8144,San Nicolás,Entire home/apt,2,3,3/31/19,0.17,1,179,1/30/16,t,1.0,1,3,Real Bed,1395,3,349,20,f,f,moderate,f,f,3
151,13263,Belgrano,Entire home/apt,2,1,1/15/20,0.19,1,175,10/4/16,f,1.0,2,3,Real Bed,1399,1,0,14,f,f,moderate,f,f,3
152,5398,Palermo,Entire home/apt,2,2,1/15/19,0.07,1,365,1/20/18,f,1.0,0,1,Real Bed,1744,1,0,365,t,f,flexible,f,f,4
153,3037,Flores,Entire home/apt,7,1,8/6/18,0.04,2,83,6/7/16,f,2.0,1,2,Real Bed,1399,1,0,1125,f,f,strict_14_with_grace_period,f,f,3
154,792,Barracas,Private room,3,39,3/31/20,0.48,1,81,10/1/13,f,1.0,2,2,Real Bed,1050,2,1399,1125,f,f,moderate,f,f,4
155,3158,Palermo,Entire home/apt,7,34,3/5/20,1.04,1,139,10/18/14,t,1.0,1,1,Real Bed,1255,1,349,45,f,f,moderate,f,f,2
156,11428,Palermo,Entire home/apt,3,2,9/8/19,0.21,1,359,1/19/16,f,1.0,1,2,Real Bed,698,1,0,1125,t,f,flexible,f,f,4
157,11388,Palermo,Entire home/apt,3,3,11/1/19,0.31,91,362,9/4/12,f,1.0,0,0,Real Bed,0,1,0,1125,f,f,moderate,f,f,4
158,2039,Villa Crespo,Entire home/apt,7,16,12/10/18,0.43,1,0,8/7/15,f,1.0,0,1,Real Bed,400,1,0,1124,f,f,strict_14_with_grace_period,f,f,1
159,13567,Belgrano,Entire home/apt,1,2,2/23/20,0.47,1,84,5/17/18,f,1.0,1,1,Real Bed,1329,1,910,1125,t,f,flexible,f,f,3
160,6560,Recoleta,Entire home/apt,7,11,12/29/19,0.69,1,287,4/27/16,f,1.0,2,2,Real Bed,3503,1,0,1125,f,f,flexible,f,f,4
161,3539,San Nicolás,Private room,1,7,6/10/19,0.16,1,176,2/4/16,f,1.0,1,1,Real Bed,1122,1,701,1125,f,f,strict_14_with_grace_period,f,f,2
